strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2021-04-21 00:00:00,2021-04-22 00:00:00,32.32,33.86,-5082.69
MA_Crossover(10/50),LONG,2021-04-22 00:00:00,2021-05-24 00:00:00,33.86,24.95,-25238.9
MA_Crossover(10/50),SHORT,2021-05-24 00:00:00,2021-06-09 00:00:00,24.95,41.08,-45332.96
MA_Crossover(10/50),LONG,2021-06-09 00:00:00,2021-06-21 00:00:00,41.08,35.2,-3553.05
MA_Crossover(10/50),SHORT,2021-06-21 00:00:00,2021-08-04 00:00:00,35.2,34.15,557.21
MA_Crossover(10/50),LONG,2021-08-04 00:00:00,2021-12-09 00:00:00,34.15,194.55,100086.26
MA_Crossover(10/50),SHORT,2021-12-09 00:00:00,2022-03-29 00:00:00,194.55,105.81,55143.65
MA_Crossover(10/50),LONG,2022-03-29 00:00:00,2022-04-18 00:00:00,105.81,100.16,-9891.96
MA_Crossover(10/50),SHORT,2022-04-18 00:00:00,2022-08-02 00:00:00,100.16,41.65,97044.8
MA_Crossover(10/50),LONG,2022-08-02 00:00:00,2022-08-03 00:00:00,41.65,39.78,-12612.22
MA_Crossover(10/50),SHORT,2022-08-03 00:00:00,2022-08-12 00:00:00,39.78,42.78,-19715.9
MA_Crossover(10/50),LONG,2022-08-12 00:00:00,2022-08-20 00:00:00,42.78,35.83,-38233.42
MA_Crossover(10/50),SHORT,2022-08-20 00:00:00,2022-11-06 00:00:00,35.83,36.88,-6258.71
MA_Crossover(10/50),LONG,2022-11-06 00:00:00,2022-11-09 00:00:00,36.88,24.49,-63284.1
MA_Crossover(10/50),SHORT,2022-11-09 00:00:00,2023-01-13 00:00:00,24.49,16.6,39469.27
MA_Crossover(10/50),LONG,2023-01-13 00:00:00,2023-03-07 00:00:00,16.6,20.62,38843.43
MA_Crossover(10/50),SHORT,2023-03-07 00:00:00,2023-03-22 00:00:00,20.62,22.52,-19331.51
MA_Crossover(10/50),LONG,2023-03-22 00:00:00,2023-03-26 00:00:00,22.52,20.4,-17787.77
MA_Crossover(10/50),SHORT,2023-03-26 00:00:00,2023-04-12 00:00:00,20.4,23.0,-21606.55
MA_Crossover(10/50),LONG,2023-04-12 00:00:00,2023-05-09 00:00:00,23.0,20.63,-15221.48
MA_Crossover(10/50),SHORT,2023-05-09 00:00:00,2023-07-07 00:00:00,20.63,19.61,5892.16
MA_Crossover(10/50),LONG,2023-07-07 00:00:00,2023-08-21 00:00:00,19.61,21.78,14325.7
MA_Crossover(10/50),SHORT,2023-08-21 00:00:00,2023-10-02 00:00:00,21.78,23.87,-14746.7
MA_Crossover(10/50),LONG,2023-10-02 00:00:00,2024-04-16 00:00:00,23.87,138.54,639908.5
MA_Crossover(10/50),SHORT,2024-04-16 00:00:00,2024-05-18 00:00:00,138.54,169.43,-174698.14
MA_Crossover(10/50),LONG,2024-05-18 00:00:00,2024-06-13 00:00:00,169.43,155.21,-51750.42
MA_Crossover(10/50),SHORT,2024-06-13 00:00:00,2024-07-17 00:00:00,155.21,160.63,-20560.5
MA_Crossover(10/50),LONG,2024-07-17 00:00:00,2024-08-06 00:00:00,160.63,129.75,-102444.78
MA_Crossover(10/50),SHORT,2024-08-06 00:00:00,2024-09-25 00:00:00,129.75,152.73,-76299.25
MA_Crossover(10/50),LONG,2024-09-25 00:00:00,2024-10-10 00:00:00,152.73,139.34,-31352.68
MA_Crossover(10/50),SHORT,2024-10-10 00:00:00,2024-10-14 00:00:00,139.34,147.77,-19993.99
