strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2016-08-11 00:00:00,2016-08-12 00:00:00,4782.25,4800.0,-37.5
MA_Crossover(10/50),LONG,2016-08-12 00:00:00,2016-09-02 00:00:00,4800.0,4777.5,-47.0
MA_Crossover(10/50),SHORT,2016-09-02 00:00:00,2016-09-06 00:00:00,4777.5,4801.25,-49.5
MA_Crossover(10/50),LONG,2016-09-06 00:00:00,2016-09-12 00:00:00,4801.25,4671.0,-262.5
MA_Crossover(10/50),SHORT,2016-09-12 00:00:00,2016-09-22 00:00:00,4671.0,4849.0,-358.0
MA_Crossover(10/50),LONG,2016-09-22 00:00:00,2016-11-02 00:00:00,4849.0,4754.5,-191.0
MA_Crossover(10/50),SHORT,2016-11-02 00:00:00,2016-11-23 00:00:00,4754.5,4877.25,-247.5
MA_Crossover(10/50),LONG,2016-11-23 00:00:00,2016-12-05 00:00:00,4877.25,4719.0,-318.5
MA_Crossover(10/50),SHORT,2016-12-05 00:00:00,2016-12-09 00:00:00,4719.0,4861.25,-286.5
MA_Crossover(10/50),LONG,2016-12-09 00:00:00,2017-07-10 00:00:00,4861.25,5663.0,1601.5
MA_Crossover(10/50),SHORT,2017-07-10 00:00:00,2017-07-11 00:00:00,5663.0,5692.0,-60.0
MA_Crossover(10/50),LONG,2017-07-11 00:00:00,2018-02-14 00:00:00,5692.0,6559.5,1733.0
MA_Crossover(10/50),SHORT,2018-02-14 00:00:00,2018-02-15 00:00:00,6559.5,6681.0,-245.0
MA_Crossover(10/50),LONG,2018-02-15 00:00:00,2018-03-29 00:00:00,6681.0,6490.75,-382.5
MA_Crossover(10/50),SHORT,2018-03-29 00:00:00,2018-05-08 00:00:00,6490.75,6817.0,-654.5
MA_Crossover(10/50),LONG,2018-05-08 00:00:00,2018-10-11 00:00:00,6817.0,7010.25,384.5
MA_Crossover(10/50),SHORT,2018-10-11 00:00:00,2019-01-29 00:00:00,7010.25,6695.25,628.0
MA_Crossover(10/50),LONG,2019-01-29 00:00:00,2019-01-30 00:00:00,6695.25,6690.25,-12.0
MA_Crossover(10/50),SHORT,2019-01-30 00:00:00,2019-01-31 00:00:00,6690.25,6844.25,-310.0
MA_Crossover(10/50),LONG,2019-01-31 00:00:00,2019-05-24 00:00:00,6844.25,7316.75,943.0
MA_Crossover(10/50),SHORT,2019-05-24 00:00:00,2019-06-18 00:00:00,7316.75,7542.25,-453.0
MA_Crossover(10/50),LONG,2019-06-18 00:00:00,2019-08-08 00:00:00,7542.25,7553.5,20.5
MA_Crossover(10/50),SHORT,2019-08-08 00:00:00,2019-09-06 00:00:00,7553.5,7853.5,-602.0
MA_Crossover(10/50),LONG,2019-09-06 00:00:00,2019-10-03 00:00:00,7853.5,7551.5,-606.0
MA_Crossover(10/50),SHORT,2019-10-03 00:00:00,2019-10-15 00:00:00,7551.5,7862.25,-623.5
