strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2016-08-11 00:00:00,2016-08-19 00:00:00,1341.5999755859375,1350.0999755859375,-86.7
MA_Crossover(10/50),LONG,2016-08-19 00:00:00,2016-08-22 00:00:00,1350.0999755859375,1334.4000244140625,-158.7
MA_Crossover(10/50),SHORT,2016-08-22 00:00:00,2017-01-23 00:00:00,1334.4000244140625,1212.0,1222.3
MA_Crossover(10/50),LONG,2017-01-23 00:00:00,2017-03-14 00:00:00,1212.0,1203.0999755859375,-90.7
MA_Crossover(10/50),SHORT,2017-03-14 00:00:00,2017-03-20 00:00:00,1203.0999755859375,1229.300048828125,-263.7
MA_Crossover(10/50),LONG,2017-03-20 00:00:00,2017-05-09 00:00:00,1229.300048828125,1226.0999755859375,-33.7
MA_Crossover(10/50),SHORT,2017-05-09 00:00:00,2017-05-23 00:00:00,1226.0999755859375,1261.5,-355.7
MA_Crossover(10/50),LONG,2017-05-23 00:00:00,2017-06-23 00:00:00,1261.5,1250.0,-116.7
MA_Crossover(10/50),SHORT,2017-06-23 00:00:00,2017-07-28 00:00:00,1250.0,1258.4000244140625,-85.7
MA_Crossover(10/50),LONG,2017-07-28 00:00:00,2017-10-04 00:00:00,1258.4000244140625,1273.800048828125,152.3
MA_Crossover(10/50),SHORT,2017-10-04 00:00:00,2017-10-17 00:00:00,1273.800048828125,1295.0999755859375,-214.7
MA_Crossover(10/50),LONG,2017-10-17 00:00:00,2017-10-18 00:00:00,1295.0999755859375,1279.9000244140625,-153.7
MA_Crossover(10/50),SHORT,2017-10-18 00:00:00,2017-11-27 00:00:00,1279.9000244140625,1293.800048828125,-140.7
MA_Crossover(10/50),LONG,2017-11-27 00:00:00,2017-12-05 00:00:00,1293.800048828125,1275.4000244140625,-185.7
MA_Crossover(10/50),SHORT,2017-12-05 00:00:00,2017-12-29 00:00:00,1275.4000244140625,1294.199951171875,-189.7
MA_Crossover(10/50),LONG,2017-12-29 00:00:00,2018-03-21 00:00:00,1294.199951171875,1312.4000244140625,180.3
MA_Crossover(10/50),SHORT,2018-03-21 00:00:00,2018-03-23 00:00:00,1312.4000244140625,1343.199951171875,-309.7
MA_Crossover(10/50),LONG,2018-03-23 00:00:00,2018-04-30 00:00:00,1343.199951171875,1309.5999755859375,-337.7
MA_Crossover(10/50),SHORT,2018-04-30 00:00:00,2018-10-17 00:00:00,1309.5999755859375,1225.9000244140625,835.3
MA_Crossover(10/50),LONG,2018-10-17 00:00:00,2018-11-14 00:00:00,1225.9000244140625,1207.9000244140625,-181.7
MA_Crossover(10/50),SHORT,2018-11-14 00:00:00,2018-11-20 00:00:00,1207.9000244140625,1225.300048828125,-175.7
MA_Crossover(10/50),LONG,2018-11-20 00:00:00,2019-04-04 00:00:00,1225.300048828125,1290.5999755859375,651.3
MA_Crossover(10/50),SHORT,2019-04-04 00:00:00,2019-04-11 00:00:00,1290.5999755859375,1307.0,-165.7
MA_Crossover(10/50),LONG,2019-04-11 00:00:00,2019-04-12 00:00:00,1307.0,1293.4000244140625,-137.7
MA_Crossover(10/50),SHORT,2019-04-12 00:00:00,2019-05-16 00:00:00,1293.4000244140625,1285.199951171875,80.3
MA_Crossover(10/50),LONG,2019-05-16 00:00:00,2019-05-17 00:00:00,1285.199951171875,1280.0,-53.7
MA_Crossover(10/50),SHORT,2019-05-17 00:00:00,2019-06-04 00:00:00,1280.0,1324.300048828125,-444.7
MA_Crossover(10/50),LONG,2019-06-04 00:00:00,2019-11-11 00:00:00,1324.300048828125,1461.0,1365.3
MA_Crossover(10/50),SHORT,2019-11-11 00:00:00,2019-12-26 00:00:00,1461.0,1505.199951171875,-443.7
MA_Crossover(10/50),LONG,2019-12-26 00:00:00,2020-03-18 00:00:00,1505.199951171875,1537.5,321.3
MA_Crossover(10/50),SHORT,2020-03-18 00:00:00,2020-03-27 00:00:00,1537.5,1623.9000244140625,-865.7
MA_Crossover(10/50),LONG,2020-03-27 00:00:00,2020-09-28 00:00:00,1623.9000244140625,1872.800048828125,2487.3
MA_Crossover(10/50),SHORT,2020-09-28 00:00:00,2020-10-22 00:00:00,1872.800048828125,1924.300048828125,-516.7
MA_Crossover(10/50),LONG,2020-10-22 00:00:00,2020-10-29 00:00:00,1924.300048828125,1876.0999755859373,-483.7
MA_Crossover(10/50),SHORT,2020-10-29 00:00:00,2020-11-06 00:00:00,1876.0999755859373,1940.800048828125,-648.7
MA_Crossover(10/50),LONG,2020-11-06 00:00:00,2020-11-10 00:00:00,1940.800048828125,1879.300048828125,-616.7
MA_Crossover(10/50),SHORT,2020-11-10 00:00:00,2020-12-28 00:00:00,1879.300048828125,1895.5,-163.7
MA_Crossover(10/50),LONG,2020-12-28 00:00:00,2021-01-14 00:00:00,1895.5,1836.699951171875,-589.7
MA_Crossover(10/50),SHORT,2021-01-14 00:00:00,2021-04-22 00:00:00,1836.699951171875,1794.199951171875,423.3
MA_Crossover(10/50),LONG,2021-04-22 00:00:00,2021-06-22 00:00:00,1794.199951171875,1783.4000244140625,-109.7
MA_Crossover(10/50),SHORT,2021-06-22 00:00:00,2021-09-01 00:00:00,1783.4000244140625,1813.5,-302.7
MA_Crossover(10/50),LONG,2021-09-01 00:00:00,2021-09-14 00:00:00,1813.5,1791.4000244140625,-222.7
MA_Crossover(10/50),SHORT,2021-09-14 00:00:00,2021-09-15 00:00:00,1791.4000244140625,1803.699951171875,-124.7
MA_Crossover(10/50),LONG,2021-09-15 00:00:00,2021-09-16 00:00:00,1803.699951171875,1792.9000244140625,-109.7
MA_Crossover(10/50),SHORT,2021-09-16 00:00:00,2021-10-25 00:00:00,1792.9000244140625,1794.300048828125,-15.7
MA_Crossover(10/50),LONG,2021-10-25 00:00:00,2021-12-02 00:00:00,1794.300048828125,1780.9000244140625,-135.7
MA_Crossover(10/50),SHORT,2021-12-02 00:00:00,2021-12-28 00:00:00,1780.9000244140625,1812.0,-312.7
MA_Crossover(10/50),LONG,2021-12-28 00:00:00,2022-04-29 00:00:00,1812.0,1902.699951171875,905.3
MA_Crossover(10/50),SHORT,2022-04-29 00:00:00,2022-11-11 00:00:00,1902.699951171875,1763.800048828125,1387.3
MA_Crossover(10/50),LONG,2022-11-11 00:00:00,2023-02-24 00:00:00,1763.800048828125,1808.800048828125,448.3
MA_Crossover(10/50),SHORT,2023-02-24 00:00:00,2023-03-14 00:00:00,1808.800048828125,1912.199951171875,-1035.7
MA_Crossover(10/50),LONG,2023-03-14 00:00:00,2023-05-30 00:00:00,1912.199951171875,1942.699951171875,303.3
MA_Crossover(10/50),SHORT,2023-05-30 00:00:00,2023-07-20 00:00:00,1942.699951171875,1973.699951171875,-311.7
MA_Crossover(10/50),LONG,2023-07-20 00:00:00,2023-08-04 00:00:00,1973.699951171875,1934.9000244140625,-389.7
MA_Crossover(10/50),SHORT,2023-08-04 00:00:00,2023-10-20 00:00:00,1934.9000244140625,1981.0999755859373,-463.7
MA_Crossover(10/50),LONG,2023-10-20 00:00:00,2024-02-15 00:00:00,1981.0999755859373,1993.5999755859373,123.3
MA_Crossover(10/50),SHORT,2024-02-15 00:00:00,2024-02-26 00:00:00,1993.5999755859373,2034.0999755859373,-406.7
MA_Crossover(10/50),LONG,2024-02-26 00:00:00,2024-11-18 00:00:00,2034.0999755859373,2591.699951171875,5574.3
MA_Crossover(10/50),SHORT,2024-11-18 00:00:00,2024-11-22 00:00:00,2591.699951171875,2687.5,-959.7
MA_Crossover(10/50),LONG,2024-11-22 00:00:00,2024-12-23 00:00:00,2687.5,2620.0,-676.7
MA_Crossover(10/50),SHORT,2024-12-23 00:00:00,2025-01-09 00:00:00,2620.0,2669.699951171875,-498.7
MA_Crossover(10/50),LONG,2025-01-09 00:00:00,2026-03-24 00:00:00,2669.699951171875,4338.7001953125,16688.3
MA_Crossover(10/50),SHORT,2026-03-24 00:00:00,2026-08-12 00:00:00,4338.7001953125,4468.7998046875,-1302.7
Donchian_Breakout(20),SHORT,2016-10-05 00:00:00,2017-01-06 00:00:00,1272.0999755859375,1176.5,954.3
Donchian_Breakout(20),LONG,2017-01-06 00:00:00,2017-03-08 00:00:00,1176.5,1212.199951171875,355.3
Donchian_Breakout(20),SHORT,2017-03-08 00:00:00,2017-04-12 00:00:00,1212.199951171875,1275.0,-629.7
Donchian_Breakout(20),LONG,2017-04-12 00:00:00,2017-05-05 00:00:00,1275.0,1227.0,-481.7
Donchian_Breakout(20),SHORT,2017-05-05 00:00:00,2017-06-01 00:00:00,1227.0,1268.0,-411.7
Donchian_Breakout(20),LONG,2017-06-01 00:00:00,2017-06-20 00:00:00,1268.0,1242.199951171875,-259.7
Donchian_Breakout(20),SHORT,2017-06-20 00:00:00,2017-07-28 00:00:00,1242.199951171875,1258.4000244140625,-163.7
Donchian_Breakout(20),LONG,2017-07-28 00:00:00,2017-09-28 00:00:00,1258.4000244140625,1283.0999755859375,245.3
Donchian_Breakout(20),SHORT,2017-09-28 00:00:00,2017-11-20 00:00:00,1283.0999755859375,1274.5999755859375,83.3
Donchian_Breakout(20),LONG,2017-11-20 00:00:00,2017-12-06 00:00:00,1274.5999755859375,1264.9000244140625,-98.7
Donchian_Breakout(20),SHORT,2017-12-06 00:00:00,2018-01-02 00:00:00,1264.9000244140625,1302.300048828125,-375.7
Donchian_Breakout(20),LONG,2018-01-02 00:00:00,2018-03-02 00:00:00,1302.300048828125,1314.300048828125,118.3
Donchian_Breakout(20),SHORT,2018-03-02 00:00:00,2018-03-26 00:00:00,1314.300048828125,1348.5,-343.7
Donchian_Breakout(20),LONG,2018-03-26 00:00:00,2018-04-27 00:00:00,1348.5,1315.300048828125,-333.7
Donchian_Breakout(20),SHORT,2018-04-27 00:00:00,2018-10-12 00:00:00,1315.300048828125,1221.5999755859375,935.3
Donchian_Breakout(20),LONG,2018-10-12 00:00:00,2018-11-12 00:00:00,1221.5999755859375,1201.5999755859375,-201.7
Donchian_Breakout(20),SHORT,2018-11-12 00:00:00,2018-12-04 00:00:00,1201.5999755859375,1231.0,-295.7
Donchian_Breakout(20),LONG,2018-12-04 00:00:00,2019-03-04 00:00:00,1231.0,1285.5,543.3
Donchian_Breakout(20),SHORT,2019-03-04 00:00:00,2019-05-14 00:00:00,1285.5,1297.800048828125,-124.7
Donchian_Breakout(20),LONG,2019-05-14 00:00:00,2019-10-01 00:00:00,1297.800048828125,1468.699951171875,1707.3
Donchian_Breakout(20),SHORT,2019-10-01 00:00:00,2019-12-26 00:00:00,1468.699951171875,1505.199951171875,-366.7
Donchian_Breakout(20),LONG,2019-12-26 00:00:00,2020-03-16 00:00:00,1505.199951171875,1569.0999755859375,637.3
Donchian_Breakout(20),SHORT,2020-03-16 00:00:00,2020-04-13 00:00:00,1569.0999755859375,1722.0,-1530.7
Donchian_Breakout(20),LONG,2020-04-13 00:00:00,2020-06-08 00:00:00,1722.0,1679.0999755859375,-430.7
Donchian_Breakout(20),SHORT,2020-06-08 00:00:00,2020-06-23 00:00:00,1679.0999755859375,1755.4000244140625,-764.7
Donchian_Breakout(20),LONG,2020-06-23 00:00:00,2020-09-22 00:00:00,1755.4000244140625,1913.0999755859373,1575.3
Donchian_Breakout(20),SHORT,2020-09-22 00:00:00,2020-11-06 00:00:00,1913.0999755859373,1940.800048828125,-278.7
Donchian_Breakout(20),LONG,2020-11-06 00:00:00,2020-11-10 00:00:00,1940.800048828125,1879.300048828125,-616.7
Donchian_Breakout(20),SHORT,2020-11-10 00:00:00,2020-12-18 00:00:00,1879.300048828125,1882.4000244140625,-32.7
Donchian_Breakout(20),LONG,2020-12-18 00:00:00,2021-02-05 00:00:00,1882.4000244140625,1794.300048828125,-882.7
Donchian_Breakout(20),SHORT,2021-02-05 00:00:00,2021-04-09 00:00:00,1794.300048828125,1750.800048828125,433.3
Donchian_Breakout(20),LONG,2021-04-09 00:00:00,2021-06-18 00:00:00,1750.800048828125,1775.699951171875,247.3
Donchian_Breakout(20),SHORT,2021-06-18 00:00:00,2021-09-07 00:00:00,1775.699951171875,1825.699951171875,-501.7
Donchian_Breakout(20),LONG,2021-09-07 00:00:00,2021-09-17 00:00:00,1825.699951171875,1758.800048828125,-670.7
Donchian_Breakout(20),SHORT,2021-09-17 00:00:00,2021-10-15 00:00:00,1758.800048828125,1794.5,-358.7
Donchian_Breakout(20),LONG,2021-10-15 00:00:00,2021-12-03 00:00:00,1794.5,1767.5,-271.7
Donchian_Breakout(20),SHORT,2021-12-03 00:00:00,2022-01-03 00:00:00,1767.5,1830.0999755859373,-627.7
Donchian_Breakout(20),LONG,2022-01-03 00:00:00,2022-04-26 00:00:00,1830.0999755859373,1900.5,702.3
Donchian_Breakout(20),SHORT,2022-04-26 00:00:00,2022-08-05 00:00:00,1900.5,1791.199951171875,1091.3
Donchian_Breakout(20),LONG,2022-08-05 00:00:00,2022-08-31 00:00:00,1791.199951171875,1718.300048828125,-730.7
Donchian_Breakout(20),SHORT,2022-08-31 00:00:00,2022-11-09 00:00:00,1718.300048828125,1707.4000244140625,107.3
Donchian_Breakout(20),LONG,2022-11-09 00:00:00,2023-02-14 00:00:00,1707.4000244140625,1854.0999755859373,1465.3
Donchian_Breakout(20),SHORT,2023-02-14 00:00:00,2023-03-14 00:00:00,1854.0999755859373,1912.199951171875,-582.7
Donchian_Breakout(20),LONG,2023-03-14 00:00:00,2023-05-19 00:00:00,1912.199951171875,1960.0,476.3
Donchian_Breakout(20),SHORT,2023-05-19 00:00:00,2023-07-19 00:00:00,1960.0,1977.0,-171.7
Donchian_Breakout(20),LONG,2023-07-19 00:00:00,2023-08-10 00:00:00,1977.0,1921.0999755859373,-560.7
Donchian_Breakout(20),SHORT,2023-08-10 00:00:00,2023-10-19 00:00:00,1921.0999755859373,1950.0999755859373,-291.7
Donchian_Breakout(20),LONG,2023-10-19 00:00:00,2024-01-18 00:00:00,1950.0999755859373,2012.800048828125,625.3
Donchian_Breakout(20),SHORT,2024-01-18 00:00:00,2024-03-04 00:00:00,2012.800048828125,2083.60009765625,-709.7
Donchian_Breakout(20),LONG,2024-03-04 00:00:00,2024-06-10 00:00:00,2083.60009765625,2290.60009765625,2068.3
Donchian_Breakout(20),SHORT,2024-06-10 00:00:00,2024-07-08 00:00:00,2290.60009765625,2381.699951171875,-912.7
Donchian_Breakout(20),LONG,2024-07-08 00:00:00,2024-11-12 00:00:00,2381.699951171875,2605.5,2236.3
Donchian_Breakout(20),SHORT,2024-11-12 00:00:00,2024-12-12 00:00:00,2605.5,2725.10009765625,-1197.7
Donchian_Breakout(20),LONG,2024-12-12 00:00:00,2025-05-15 00:00:00,2725.10009765625,3151.0,4257.3
Donchian_Breakout(20),SHORT,2025-05-15 00:00:00,2025-06-16 00:00:00,3151.0,3442.0,-2911.7
Donchian_Breakout(20),LONG,2025-06-16 00:00:00,2026-03-20 00:00:00,3442.0,4686.89990234375,12447.3
Donchian_Breakout(20),SHORT,2026-03-20 00:00:00,2026-04-20 00:00:00,4686.89990234375,4793.89990234375,-1071.7
Donchian_Breakout(20),LONG,2026-04-20 00:00:00,2026-05-20 00:00:00,4793.89990234375,4502.60009765625,-2914.7
Donchian_Breakout(20),SHORT,2026-05-20 00:00:00,2026-08-06 00:00:00,4502.60009765625,4297.0,2054.3
